ds,y
1578953700000,122.0
1578954600000,122.0
1578955500000,122.0
1578956400000,122.0
1578957300000,123.0
1578958200000,134.0
1578959100000,131.0
1578960000000,115.0
1578960900000,122.0
1578961800000,122.0
1578962700000,122.0
1578963600000,121.0
1578964500000,122.0
1578965400000,121.0
1578966300000,121.0
1578967200000,122.0
1578968100000,122.0
1578969000000,121.0
1578969900000,122.0
1578970800000,121.0
1578971700000,122.0
1578972600000,126.0
1578973500000,133.0
1578974400000,130.0
1578975300000,121.0
1578976200000,123.0
1578977100000,122.0
1578978000000,122.0
1578978900000,122.0
1578979800000,121.0
1578980700000,123.0
1578981600000,121.0
1578982500000,72.0
1578983400000,72.0
1578984300000,72.0
1578985200000,79.0
1578986100000,214.0
1578987000000,214.0
1578987900000,216.0
1578988800000,226.0
1578989700000,228.0
1578990600000,217.0
1578991500000,216.0
1578992400000,370.0
1578993300000,1110.0
1578994200000,1651.0
1578996000000,2234.0
1578996900000,1058.0
1578997800000,1242.0
1578998700000,1174.0
1578999600000,1165.0
1579000500000,1089.0
1579001400000,997.0
1579002300000,1055.0
1579003200000,1059.0
1579004100000,1099.0
1579005000000,828.0
1579005900000,614.0
1579006800000,777.0
1579007700000,694.0
1579008600000,397.0
1579009500000,628.0
1579010400000,623.0
1579011300000,426.0
1579012200000,657.0
1579013100000,727.0
1579014000000,562.0
1579014900000,733.0
1579015800000,934.0
1579016700000,716.0
1579017600000,713.0
1579018500000,897.0
1579019400000,809.0
1579020300000,716.0
1579021200000,909.0
1579022100000,753.0
1579023000000,703.0
1579023900000,861.0
1579024800000,671.0
1579025700000,548.0
1579026600000,534.0
1579027500000,509.0
1579028400000,408.0
1579029300000,350.0
1579030200000,266.0
1579031100000,263.0
1579032000000,258.0
1579032900000,204.0
1579033800000,160.0
1579034700000,160.0
1579035600000,159.0
1579036500000,159.0
1579037400000,159.0
1579038300000,154.0
1579039200000,143.0
1579040100000,155.0
1579041000000,153.0
1579041900000,143.0
1579042800000,143.0
1579043700000,142.0
1579044600000,144.0
1579045500000,143.0
1579046400000,135.0
1579047300000,136.0
1579048200000,129.0
1579049100000,129.0
1579050000000,129.0
1579050900000,129.0
1579051800000,128.0
1579052700000,129.0
1579053600000,129.0
1579054500000,140.0
1579055400000,140.0
1579056300000,131.0
1579057200000,129.0
1579058100000,130.0
1579059000000,129.0
1579059900000,130.0
1579060800000,129.0
1579061700000,129.0
1579062600000,129.0
1579063500000,128.0
1579064400000,129.0
1579065300000,128.0
1579066200000,129.0
1579067100000,128.0
1579068000000,127.0
1579068900000,85.0
1579069800000,91.0
1579070700000,85.0
1579071600000,82.0
1579072500000,219.0
1579073400000,217.0
1579074300000,214.0
1579075200000,212.0
1579076100000,220.0
1579077000000,219.0
1579077900000,217.0
1579078800000,490.0
1579079700000,1013.0
1579080600000,1402.0
1579081500000,1369.0
1579082400000,1386.0
1579083300000,1173.0
1579084200000,1181.0
1579085100000,1197.0
1579086000000,1101.0
1579086900000,1076.0
1579087800000,986.0
1579088700000,1217.0
1579089600000,1104.0
1579090500000,901.0
1579091400000,950.0
1579092300000,932.0
1579093200000,856.0
1579094100000,935.0
1579095000000,803.0
1579095900000,1096.0
1579096800000,863.0
1579097700000,897.0
1579098600000,1123.0
1579101300000,3019.0
1579102200000,960.0
1579103100000,956.0
1579104000000,1061.0
1579104900000,1050.0
1579105800000,1018.0
1579106700000,1171.0
1579107600000,1077.0
1579108500000,882.0
1579109400000,920.0
1579110300000,1094.0
1579111200000,571.0
1579112100000,460.0
1579113000000,358.0
1579113900000,304.0
1579114800000,316.0
1579115700000,215.0
1579116600000,194.0
1579117500000,476.0
1579118400000,160.0
1579119300000,127.0
1579120200000,138.0
1579121100000,134.0
1579122000000,126.0
1579122900000,125.0
1579123800000,127.0
1579124700000,126.0
1579125600000,126.0
1579126500000,126.0
1579127400000,125.0
1579128300000,126.0
1579129200000,126.0
1579130100000,125.0
1579131000000,125.0
1579131900000,126.0
1579132800000,121.0
1579133700000,137.0
1579134600000,137.0
1579135500000,128.0
1579136400000,127.0
1579137300000,126.0
1579138200000,126.0
1579139100000,126.0
1579140000000,125.0
1579140900000,126.0
1579141800000,125.0
1579142700000,126.0
1579143600000,126.0
1579144500000,125.0
1579145400000,126.0
1579146300000,125.0
1579147200000,137.0
1579148100000,138.0
1579149000000,128.0
1579149900000,127.0
1579150800000,126.0
1579151700000,126.0
1579152600000,126.0
1579153500000,126.0
1579154400000,123.0
1579155300000,75.0
1579156200000,75.0
1579157100000,75.0
1579158000000,82.0
1579158900000,224.0
1579159800000,220.0
1579160700000,228.0
1579161600000,229.0
1579162500000,227.0
1579163400000,212.0
1579164300000,205.0
1579165200000,291.0
1579166100000,1147.0
1579167000000,1019.0
1579167900000,1316.0
1579168800000,1242.0
1579169700000,1325.0
1579170600000,1410.0
1579171500000,1284.0
1579172400000,1283.0
1579173300000,1121.0
1579174200000,1081.0
1579175100000,1250.0
1579176000000,1206.0
1579176900000,996.0
1579177800000,1075.0
1579178700000,1319.0
1579179600000,1034.0
1579181400000,2207.0
1579182300000,1091.0
1579183200000,900.0
1579184100000,1067.0
1579185000000,1227.0
1579185900000,1198.0
1579187700000,2570.0
1579188600000,1369.0
1579189500000,1237.0
1579190400000,1256.0
1579191300000,1262.0
1579192200000,1322.0
1579193100000,1249.0
1579194000000,1219.0
1579194900000,1099.0
1579195800000,1025.0
1579196700000,828.0
1579197600000,919.0
1579198500000,681.0
1579199400000,517.0
1579200300000,510.0
1579201200000,479.0
1579202100000,470.0
1579203000000,214.0
1579203900000,462.0
1579204800000,237.0
1579205700000,170.0
1579206600000,172.0
1579207500000,158.0
1579208400000,158.0
1579209300000,158.0
1579210200000,159.0
1579211100000,159.0
1579212000000,151.0
1579212900000,143.0
1579213800000,142.0
1579214700000,142.0
1579215600000,141.0
1579216500000,138.0
1579217400000,140.0
1579218300000,147.0
1579219200000,147.0
1579220100000,150.0
1579221000000,137.0
1579221900000,136.0
